class,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9
d ,39,36,57,91,59,101,93,27,60,75.7,14.86,40.35,7.97,-32.92,-38.92,-14.94,4.47,-2.36,-18.41,-1.88,-6.43,-21.03,-1.6,-6.18,-22.5,-5.2,-7.86
h ,84,30,57,112,51,98,92,26,62,30.58,20.42,39.83,-16.74,-24.92,-36.33,-15.67,8.16,-2.26,-16.27,-1.95,-6.25,-18.79,-1.99,-6.18,-23.41,-8.87,-10.83
s ,53,25,49,99,51,93,84,26,58,63.2,26.7,49.28,3.25,-24.89,-30.38,-3.6,4.15,-1.46,-15.92,-1.79,-4.64,-17.73,-0.48,-4.69,-19.97,-4.1,-7.07
s ,59,26,49,103,47,92,82,25,56,55.54,24.5,47.9,-6.2,-20.98,-30.28,-5.03,7.77,2.68,-13.77,-2.53,-6.34,-22.03,-2.34,-6.6,-27.1,-7.99,-10.81
d ,57,49,66,103,64,106,114,28,59,59.44,2.62,32.02,-1.33,-37.99,-43.57,-34.25,1.83,-2.94,-21.74,-1.64,-4.62,-23.74,-0.85,-5.5,-22.83,-2.74,-5.84
h ,85,28,56,120,52,98,101,27,65,35.14,23.43,42.29,-16.58,-25.43,-34.14,-17.45,1.58,-10.28,-26.18,-1.89,-5.89,-34.92,-1.89,-8.05,-29.72,-1.94,-4.94
s ,56,29,50,93,51,94,77,26,58,62.5,22.48,48.2,9.69,-24.78,-30.81,3.91,3.09,-2.68,-26.33,-0.55,-3.89,-23.84,0.02,-4.2,-23.17,-0.22,-4.22
d ,40,39,58,82,61,99,89,26,57,73.99,12.91,41.92,17.33,-34.82,-36.19,-11.07,4.28,-0.19,-18.72,-2.61,-8.38,-20.56,-1.51,-6.68,-21.16,-3.42,-6.61
s ,53,27,49,95,49,92,63,25,54,66.97,24.43,49.28,8.08,-22.53,-28.25,19.78,3.75,0.92,-25.65,-2.09,-5.95,-39.27,-2.13,-8.73,-30.73,-2.42,-5.58
o ,51,57,77,90,89,123,97,47,83,64.91,-5.21,21.45,12.21,-62.9,-60.4,-16.75,-16.85,-26.44,-20.97,-1.76,-5.05,-22.01,-0.93,-5.6,-22.26,-3.28,-6.39
d ,34,32,53,97,53,97,59,22,50,83.32,19.34,45.03,4.09,-26.76,-33.99,20.34,7.06,5.3,-22.93,-1.82,-5.44,-27.3,-1.37,-6.44,-23.23,-1.89,-4.89
o ,75,68,89,116,77,118,94,42,76,43.28,-16.52,9.17,-13.26,-50.8,-54.87,-13.2,-12.88,-20.64,-24.49,-1.42,-4.34,-27.33,-0.91,-5.92,-24.1,-1.21,-4.88
o ,64,52,71,98,72,109,87,37,70,50.02,-0.56,27.64,0.31,-46.02,-46.84,-9.36,-5.94,-12.59,-18.32,-2.47,-7.93,-20.07,-1.51,-6.34,-21.78,-4.52,-7.42
d ,51,47,67,95,66,106,97,26,56,66.92,4.48,31.13,7.76,-39.83,-42.96,-16.39,3.16,-0.6,-23.75,-1.66,-4.84,-28.07,-1.14,-6.32,-24.11,-1.67,-5.04
s ,63,28,52,93,51,93,84,25,59,52.49,24.04,46.33,10,-24.96,-30.64,-4.09,5.51,-2.14,-22.89,-1.26,-4.81,-20.77,-0.89,-5.11,-20.06,-3.51,-6.6
o ,41,44,67,64,71,104,84,54,85,71.81,8.35,34.35,33.13,-44.66,-40.47,-7.91,-24.34,-28.44,-18.06,-3.04,-10.02,-18.23,-1.68,-7.48,-19.16,-2.55,-6.17
